title	english_content	gujurati_content	transliteration_content	audio_url   value   tier
Shloka 11	The methods of āgnā and upāsanā revealed by Parabrahman Sahajanand Paramatma are clearly expressed in this shastra.	આ શાસ્ત્રમાં પરબ્રહ્મ સહજાનંદ પરમાત્માએ દર્શાવેલ આજ્ઞા તથા ઉપાસનાની પદ્ધતિને સ્પષ્ટ રીતે જણાવી છે.	Ā shāstramā Parabrahma Sahajanand Paramwatmae darshāvel āgnā tathā upāsanāni paddhatine spasht rite janāvi chhe.	https://baps.box.com/shared/static/bvj56b2b2jv68sb7fhxvfc17w9b2mt2l.mp3	1	shastri
Shloka 14-16	All men and women of all castes are forever entitled to satsang, brahmavidyā and moksha. Do not attribute notions of superiority and inferiority based on varna. All persons should shun their ego based on their caste and serve one another. No one is superior and no one is inferior by birth. Therefore, one should not quarrel based on caste or class and should joyfully practice satsang.	સર્વ વર્ણના સર્વ સ્ત્રીઓ તથા સર્વ પુરુષો સદાય સત્સંગ, બ્રહ્મવિદ્યા અને મોક્ષના અધિકારી છે. વર્ણના આધારે ક્યારેય ન્યૂનાધિકભાવ ન કરવો. સર્વ જનોએ પોતાના વર્ણનું માન ત્યજીને પરસ્પર સેવા કરવી. જાતિએ કરીને કોઈ મહાન નથી અને કોઈ ન્યૂન પણ નથી. તેથી નાત-જાતને લઈને ક્લેશ ન કરવો ને સુખે સત્સંગ કરવો.	Sarva varnanā sarva strio tathā sarva purusho sadāy satsang, brahmavidyā ane mokshanā adhikāri chhe. Varnanā ādhāre kyārey nyun-ādhikbhāv na karvo. Sarva janoe potānā varnanu mān tyajine paraspar sevā karvi. Jātie karine koi mahān nathi ane koi nyun pan nathi. Tethi nātjātne laine klesh na karvo ne sukhe satsang karvo.	https://baps.box.com/shared/static/rt7xqz5ghu07kkrcqeg7989e54guhs04.mp3	3	shastri
Shloka 20	For the moksha one’s ātmā, a mumukshu should lovingly take refuge of Sahajanand Shri Hari and the Aksharbrahman Gunatit guru.	મુમુક્ષુ પોતાના આત્માની મુક્તિ માટે સહજાનંદ શ્રીહરિ તથા અક્ષરબ્રહ્મ સ્વરૂપ ગુણાતીત ગુરુનો પ્રીતિએ કરીને આશરો કરે.	Mumukshu potānā ātmāni mukti māte Sahajanand Shri Hari tathā Aksharbrahma-swarup Gunatit guruno pritie karine āshro kare.	https://baps.box.com/shared/static/m0l9w9la7yx9h2ak55rqvdyz1parpuga.mp3	1	shastri
Shloka 21	Upon taking the refuge of satsang, one should always wear a double-stranded wooden kanthi around the neck and accept the niyams of satsang.	સત્સંગનો આશરો કરી સદાય કંઠને વિષે કાષ્ઠની બેવડી માળા ધારણ કરવી તથા સત્સંગના નિયમો ધારણ કરવા.	Satsangno āshro kari sadāy kanthne vishe kāshthni bevdi mālā dhāran karvi tathā satsangnā niyamo dhāran karvā.	https://baps.box.com/shared/static/joxnhnji87oifd3mfszul2dcrka40jpu.mp3	1	shastri
Shloka 27	One should never consume intoxicating substances, such as alcohol, bhang and tobacco. One should also refrain from smoking.	સુરા, ભાંગ તથા તમાકુ ઇત્યાદિ જે જે પદાર્થો માદક હોય તે ક્યારેય ખાવા કે પીવા નહીં તથા ધૂમ્રપાનનો પણ ત્યાગ કરવો.	Surā, bhāng tathā tamāku ityādi je je padārtho mādak hoy te kyārey khāvā ke pivā nahi tathā dhumrapānno pan tyāg karvo.	https://baps.box.com/shared/static/aa4xbmyrpdhfv9kgdllxw80rccfj642h.mp3	1	shastri
Shloka 28	All women and men should never engage in any form of gambling or adultery.	સર્વે સ્ત્રી તથા પુરુષોએ સર્વ પ્રકારના જુગારનો તથા વ્યભિચારનો ત્યાગ કરવો.	Sarve stri tathā purushoe sarva prakārnā jugārno tathā vyabhichārno tyāg karvo.	https://baps.box.com/shared/static/gws7oxmhkr85nour7x23r2q4xngakotf.mp3	1	shastri
Shloka 30	One should consume water, milk and other drinkable items [only] after they have been filtered. Food items and beverages that are forbidden should never be consumed.	પાણી તથા દૂધ ઇત્યાદિ પેય પદાર્થો ગાળેલા ગ્રહણ કરવા. જે ખાદ્ય વસ્તુ તથા પીણાં અશુદ્ધ હોય તે ક્યારેય ગ્રહણ ન કરવાં.	Pāni tathā dudh ityādi peya padārtho gālelā grahan karvā. Je khādya vastu tathā pinā ashuddh hoy te kyārey grahan na karvā.	https://baps.box.com/shared/static/b8v0vdqo7jekm0bgjfyg8irxxm3t4qda.mp3	1	shastri
Shloka 35	Even for a yagna, satsangis should never harm goats or any other innocent animals.	સત્સંગીઓએ યજ્ઞને અર્થે પણ બકરાં વગેરે નિર્દોષ પ્રાણીઓની હિંસા ક્યારેય ન જ કરવી.	Satsangioe yagnane arthe pan bakrā vagere nirdosh prānioni hinsā kyārey na ja karvi.	https://baps.box.com/shared/static/piqj5q7ijr7pvggf2j70h3oxy577nbxo.mp3	1	shastri
Shloka 36	When yagnas are held, they should only be conducted without harming any beings and according to the Sampraday’s principles.	યાગાદિ કરવાના થાય ત્યારે સંપ્રદાયના સિદ્ધાંતને અનુસરીને હિંસારહિત જ કરવા.	Yāgādi karvānā thāy tyāre Sampradaynā siddhāntne anusarine hinsā rahit ja karvā.	https://baps.box.com/shared/static/fietaxv06shkun320we9i8ogk25gxvty.mp3	1	shastri
Shloka 37	Satsangis should never eat meat, even if it is considered to be the remnant of a yagna or sanctified by the deities.	યજ્ઞનો શેષ ગણીને કે પછી દેવતાના નૈવેદ્ય રૂપે પણ સત્સંગીઓએ ક્યારેય માંસ ન જ ખાવું.	Yagnano shesh ganine ke pachhi devtānā naivedya rupe pan satsangioe kyārey māns na ja khāvu.	https://baps.box.com/shared/static/49ly89fwm6f3gyrqy6whs1oij4x2ba2c.mp3	1	shastri
